show_id,type,title,director,casts,country,release_year,rating,duration,listed_in,description,Date_added_converted
s3653,MOVIE,"¡AY, MI MADRE!","FRANK ARIZA","ESTEFANÍA DE LOS SANTOS, SECUN DE LA ROSA, TERELE PÁVEZ, MARÍA ALFONSA ROSSO, MARIOLA FUENTES, ALFONSO SÁNCHEZ, PAZ VEGA, MARTA TORNÉ, CONCHA GALÁN",SPAIN,2019,TV-MA,"81 min","Comedies, International Movies","When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.",2019-07-19
s307,MOVIE,'76,"IZU OJUKWU","RAMSEY NOUAH, RITA DOMINIC, CHIDI MOKEME, IBINABO FIBERESIMA, DANIEL K. DANIEL, MEMRY SAVANHU, ADONIJAH OWIRIWA, PAT NEBO, NELLY EKWEREOGU, SHUAIBU EBENESI ADAMS, DEBO OGUNS, BEN NWOSU, ADA OFOEGBU",NIGERIA,2016,TV-PG,"118 min","Dramas, International Movies","When her husband is accused of taking part in an attempted military coup, a pregnant woman's life takes an emotional turn. Inspired by true events.",2021-08-04
s5968,MOVIE,'89,NULL,"LEE DIXON, IAN WRIGHT, PAUL MERSON","UNITED KINGDOM",2017,TV-PG,"87 min","Sports Movies","Mixing old footage with interviews, this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game.",2018-05-16
s5972,MOVIE,(T)ERROR,"LYRIC R. CABRAL, DAVID FELIX SUTCLIFFE",NULL,"UNITED STATES",2015,UR,"84 min",Documentaries,"This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.",2016-06-30
s2141,"TV SHOW",(UN)WELL,NULL,NULL,"UNITED STATES",2020,TV-MA,"1 Season","Reality TV","This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?",2020-08-12
s2037,MOVIE,#ALIVE,"CHO IL","YOO AH-IN, PARK SHIN-HYE","SOUTH KOREA",2020,TV-MA,"99 min","Horror Movies, International Movies, Thrillers","As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",2020-09-08
s2305,MOVIE,"#ANNEFRANK - PARALLEL STORIES","SABINA FEDELI, ANNA MIGOTTO","HELEN MIRREN, GENGHER GATTI",ITALY,2019,TV-14,"95 min","Documentaries, International Movies","Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.",2020-07-01
s2667,"TV SHOW",#BLACKAF,NULL,"KENYA BARRIS, RASHIDA JONES, IMAN BENSON, GENNEYA WALTON, SCARLET SPENCER, JUSTIN CLAIBORNE, RAVI CABOT-CONYERS","UNITED STATES",2020,TV-MA,"1 Season","TV Comedies","Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.",2020-04-17
s5973,MOVIE,#CATS_THE_MEWVIE,"MICHAEL MARGOLIS",NULL,CANADA,2020,TV-14,"90 min","Documentaries, International Movies","This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers.",2020-02-05
s2482,MOVIE,#FRIENDBUTMARRIED,"RAKO PRIJANTO","ADIPATI DOLKEN, VANESHA PRESCILLA, RENDI JHON, BEBY TSABINA, DENIRA WIRAGUNA, REFAL HADY, DIANDRA AGATHA, SARI NILA",INDONESIA,2018,TV-G,"102 min","Dramas, International Movies, Romantic Movies","Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.",2020-05-21
s2325,MOVIE,"#FRIENDBUTMARRIED 2","RAKO PRIJANTO","ADIPATI DOLKEN, MAWAR DE JONGH, SARI NILA, VONNY CORNELLYA, CLAY GRIBBLE, IVAN LEONARDY, SARAH SECHAN, JOURDY PRANATA",INDONESIA,2020,TV-G,"104 min","Dramas, International Movies, Romantic Movies","As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.",2020-06-28
