track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,key,release_date
"(It Goes Like) Nanana  Edit","PEGGY GOU",1,2259,59,57876440,0,0,109,17,0,G,2023-06-15
"10 Things I Hate About You","LEAH KATE",1,1301,0,185550869,23,1,15,0,0,G#,2022-03-23
1035,"TISTO, TATE M",2,4942,26,325592432,190,104,147,18,63,G#,2022-11-01
"2 Be Loved (Am I Ready)",LIZZO,1,3682,6,247689123,41,0,158,2,68,G,2022-07-14
2055,"SLEEPY HALLOW",1,2226,0,624515457,29,0,44,0,0,F#,2021-04-14
212,"MAINSTREET, CHEFIN",2,352,0,143139338,10,0,39,0,0,D,2022-01-15
"25k jacket (feat Lil Baby)","GUNNA, LIL BABY",2,620,0,54937991,17,3,3,0,0,F,2022-01-07
295,"SIDHU MOOSE WALA",1,246,4,183273246,4,106,0,0,7,B,2021-05-15
505,"ARCTIC MONKEYS",1,13985,25,1217120710,30,80,588,1,1,NULL,2007-04-20
69,"NICKY JAM, FEID",2,1134,22,57945987,39,14,48,2,3,G#,2023-05-18
"A Holly Jolly Christmas  Single Version","BURL IVES",1,7930,0,395591396,108,120,73,0,0,NULL,1952-01-01
"A Tale By Quincy","THE WEEKND",1,733,0,41924466,0,2,2,0,0,F,2022-01-07
"A Tu Merced","BAD BUNNY",1,4214,11,685071800,21,20,40,0,0,NULL,2020-02-29
"A Veces (feat Feid)","FEID, PAULO LONDRA",2,573,0,73513683,2,0,7,0,0,C#,2022-11-03
Abcdario,"JUNIOR H, EDEN MU",2,262,5,89933133,8,60,4,1,109,G#,2023-05-13
"About Damn Time",LIZZO,1,9021,0,723894473,242,49,272,21,24,A#,2022-04-14
Acapulco,"JASON DERULO",1,3098,0,363467642,111,5,182,1,0,A#,2021-09-01
Acrs,SHAKIRA,1,955,29,123124076,37,50,79,11,31,B,2023-05-11
"Adore You","HARRY STYLES",1,13454,1,1439191367,246,71,519,2,5,G#,2019-12-06
"Afraid To Feel","LF SYSTEM",1,5898,5,244790012,129,55,128,0,101,C#,2022-05-02
"After Dark",MRKITTY,1,1776,14,646886885,1,9,3,0,0,G#,2014-08-08
"After Hours","THE WEEKND",1,8084,6,698086140,45,115,218,1,221,F,2020-02-19
"After LIKE",IVE,1,767,12,265548837,20,129,11,0,12,NULL,2022-08-22
Agosto,"BAD BUNNY",1,897,0,246127838,6,20,8,0,0,C#,2022-05-06
Aguacero,"BAD BUNNY",1,829,0,283359161,4,15,10,0,0,F#,2022-05-06
"Agudo Mgi","STYRX, UTKU INC, THEZTH",3,323,0,90598517,4,0,14,0,0,F#,1930-01-01
"Ai Preto","L7NNON, DJ BIEL DO FURDUNCINHO, BIANCA",3,894,4,176103902,28,0,54,0,0,F#,2022-06-03
"Aint Shit","DOJA CAT",1,3436,0,499710590,32,6,46,0,1,D#,2021-06-25
"Aint Tha","MORGAN WALLEN",1,356,4,88791109,4,20,0,0,0,F#,2023-03-03
"Alien Blues",VUNDABAR,1,1930,0,370068639,3,0,28,0,1,D#,2015-07-24
"ALIEN SUPERSTAR",BEYONC,1,2688,0,171788484,39,47,36,0,0,A#,2022-07-29
"All For Us  from the HBO Original Series Euphoria","LABRINTH, ZENDAYA",2,5342,0,426204830,33,123,7,0,4,D#,2019-08-04
"All My Life (feat J Cole)","J COLE, LIL DURK",2,2175,23,144565150,69,145,69,2,478,D#,2023-05-12
"All Of The Girls You Loved Before","TAYLOR SWIFT",1,1282,6,185240616,26,6,19,0,5,D,2019-08-23
"All The Way Live (SpiderMan Across the SpiderVerse) (Metro Boomin  Future Lil Uzi Vert)","FUTURE, LIL UZI VERT, METRO BOOMIN",3,259,0,37126685,5,17,5,0,0,A,2023-06-02
"All Too Well (10 Minute Version) (Taylors Version) (From The Vault)","TAYLOR SWIFT",1,4635,5,583687007,50,49,30,1,2,NULL,2021-11-12
Alone,"BURNA BOY",1,782,2,96007391,27,18,32,1,0,E,2022-11-04
"Am I Dreaming (Metro Boomin  AAP Rocky Roisee)","AAP ROCKY, METRO BOOMIN, ROISEE",3,727,16,94186466,17,60,28,1,44,A,2023-06-02
